Year,East Coast,Midwest,Gulf Coast,Rocky Mountain,West Coast
1993,761.36,1853.44,3347.68,241.72,1291.36
1994,744.1538461538462,1807.7115384615386,3210.769230769231,242.34615384615384,1280.0384615384614
1995,867.1153846153846,1908.0384615384614,3324.730769230769,242.46153846153845,1281.3076923076924
1996,807.4423076923077,1900.7692307692307,3330.7115384615386,244.1346153846154,1300.6153846153845
1997,984.9615384615385,1936.8461538461538,3340.096153846154,250.0,1302.7307692307693
1998,1045.8076923076924,1939.673076923077,3452.2884615384614,251.51923076923077,1355.3846153846155
1999,1063.0188679245282,1934.6415094339623,3576.1132075471696,263.39622641509436,1294.6415094339623
2000,1068.7307692307693,1924.9615384615386,3580.8076923076924,271.2692307692308,1378.4038461538462
2001,1039.4423076923076,1947.3076923076924,3625.519230769231,265.15384615384613,1397.076923076923
2002,1085.9615384615386,1976.1153846153845,3611.9423076923076,274.4423076923077,1452.7884615384614
2003,1132.576923076923,1999.076923076923,3634.019230769231,270.2692307692308,1434.923076923077
2004,1227.3207547169811,2026.1698113207547,3646.3396226415093,286.50943396226415,1494.6792452830189
2005,1261.9038461538462,2048.596153846154,3517.596153846154,281.9423076923077,1550.75
2006,1525.3653846153845,2126.8846153846152,3349.2115384615386,281.75,1583.6346153846155
2007,1774.2115384615386,2107.1346153846152,3315.269230769231,285.0192307692308,1527.8846153846155
2008,1975.576923076923,2274.0,2931.326923076923,291.5192307692308,1440.6538461538462
2009,2336.6153846153848,2157.9615384615386,2693.153846153846,307.21153846153845,1451.6538461538462
2010,2647.622641509434,2202.6415094339623,2416.7924528301887,305.8867924528302,1511.1698113207547
2011,2909.6346153846152,2223.076923076923,2148.730769230769,279.09615384615387,1534.673076923077
2012,2848.769230769231,2189.2115384615386,1986.5,288.3269230769231,1531.423076923077
2013,2903.1346153846152,2241.403846153846,2038.7307692307693,303.61538461538464,1569.9615384615386
2014,2981.8846153846152,2580.846153846154,2128.403846153846,338.0576923076923,1598.1538461538462
2015,3072.6923076923076,2533.326923076923,2214.403846153846,316.28846153846155,1598.6538461538462
2016,3185.6792452830186,2586.3207547169814,2216.4716981132074,315.47169811320754,1600.698113207547
2017,3185.576923076923,2567.3846153846152,2235.8653846153848,313.59615384615387,1614.7307692307693
2018,3192.5,2568.096153846154,2349.5,307.90384615384613,1592.1346153846155
2019,3264.7884615384614,2572.2115384615386,2319.6923076923076,320.8269230769231,1570.5192307692307
2020,2787.846153846154,2267.576923076923,2024.8846153846155,284.0576923076923,1333.3846153846155
2021,3080.5434782608695,2461.782608695652,2150.021739130435,322.17391304347825,1449.7608695652175
